objectPathId,objectName,scriptPathId,matchedClassName,matchedNamespace,fieldsFromDump,confidence,evidence,notes
39889,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
39917,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40096,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40114,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40199,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40218,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40226,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40247,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40251,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40463,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40524,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40769,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40784,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40794,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40847,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40877,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
40958,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
41037,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
41041,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
41094,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
41211,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
41221,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
41391,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
41422,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
