source_symbol,kind,source_file,probable_role,new_system,new_class,confidence,evidence,note
SaveLoadUtility.LoadCustomSaveFile,Method,dump.cs,Save,,,HIGH,Returns: void,
SaveLoadUtility.SaveDataToAFile,Method,dump.cs,Save,,,HIGH,Returns: void,
SpriteMeshAnimation.get_cachedSpriteMeshInstance,Method,dump.cs,Item,,,HIGH,Returns: SpriteMeshInstance,
SpriteMeshInstance.get_spriteMesh,Method,dump.cs,Item,,,HIGH,Returns: SpriteMesh,
SpriteMeshInstance.set_spriteMesh,Method,dump.cs,Item,,,HIGH,Returns: void,
RegexMatchTimeoutException.get_MatchTimeout,Method,dump.cs,Time,,,HIGH,Returns: TimeSpan,
BackgroundWorker.RunWorkerAsync,Method,dump.cs,Worker,,,HIGH,Returns: void,
BackgroundWorker.add_RunWorkerCompleted,Method,dump.cs,Worker,,,HIGH,Returns: void,
BackgroundWorker.remove_RunWorkerCompleted,Method,dump.cs,Worker,,,HIGH,Returns: void,
BackgroundWorker.set_WorkerSupportsCancellation,Method,dump.cs,Worker,,,HIGH,Returns: void,
ToolboxItemAttribute.get_ToolboxItemTypeName,Method,dump.cs,Item,,,HIGH,Returns: string,
SqlDateTime.get_DayTicks,Method,dump.cs,Day,,,HIGH,Returns: int,
SqlDateTime.get_TimeTicks,Method,dump.cs,Time,,,HIGH,Returns: int,
WaitForSecondsRealtime.get_waitTime,Method,dump.cs,Time,,,HIGH,Returns: float,
WaitForSecondsRealtime.set_waitTime,Method,dump.cs,Time,,,HIGH,Returns: void,
RenderGraphDefaultResources.AddResourceWrite,Method,dump.cs,Resource,,,HIGH,Returns: void,
RenderGraphDefaultResources.AddResourceRead,Method,dump.cs,Resource,,,HIGH,Returns: void,
RenderGraphDefaultResources.AddTransientResource,Method,dump.cs,Resource,,,HIGH,Returns: void,
IRuntimeVariables.get_Item,Method,dump.cs,Item,,,HIGH,Returns: T,
IRuntimeVariables.set_Item,Method,dump.cs,Item,,,HIGH,Returns: void,
JObject.get_Item,Method,dump.cs,Item,,,HIGH,Returns: JToken,
JObject.set_Item,Method,dump.cs,Item,,,HIGH,Returns: void,
JObject.get_Item,Method,dump.cs,Item,,,HIGH,Returns: JToken,
JObject.set_Item,Method,dump.cs,Item,,,HIGH,Returns: void,
IsoDateTimeConverter.get_DateTimeStyles,Method,dump.cs,Time,,,HIGH,Returns: DateTimeStyles,
IsoDateTimeConverter.set_DateTimeStyles,Method,dump.cs,Time,,,HIGH,Returns: void,
IsoDateTimeConverter.get_DateTimeFormat,Method,dump.cs,Time,,,HIGH,Returns: string,
IsoDateTimeConverter.set_DateTimeFormat,Method,dump.cs,Time,,,HIGH,Returns: void,
LayoutRebuilder.Rebuild,Method,dump.cs,Build,,,HIGH,Returns: void,
FMODEventPlayableBehavior.get_ClipStartTime,Method,dump.cs,Time,,,HIGH,Returns: float,
StudioBankLoader.Load,Method,dump.cs,Load,,,HIGH,Returns: void,
StudioBankLoader.Unload,Method,dump.cs,Load,,,HIGH,Returns: void,
TimelineClip.get_timeScale,Method,dump.cs,Time,,,HIGH,Returns: double,
TimelineClip.set_timeScale,Method,dump.cs,Time,,,HIGH,Returns: void,
TimelineClip.get_eastOutTime,Method,dump.cs,Time,,,HIGH,Returns: double,
TimelineClip.get_easeOutTime,Method,dump.cs,Time,,,HIGH,Returns: double,
TimelineClip.get_mixOutTime,Method,dump.cs,Time,,,HIGH,Returns: double,
TimelineClip.ToLocalTime,Method,dump.cs,Time,,,HIGH,Returns: double,
TimelineClip.ToLocalTimeUnbound,Method,dump.cs,Time,,,HIGH,Returns: double,
TimelineClip.IsExtrapolatedTime,Method,dump.cs,Time,,,HIGH,Returns: bool,
TimelineClip.IsPreExtrapolatedTime,Method,dump.cs,Time,,,HIGH,Returns: bool,
TimelineClip.IsPostExtrapolatedTime,Method,dump.cs,Time,,,HIGH,Returns: bool,
TimelineAsset.get_timelineAsset,Method,dump.cs,Time,,,HIGH,Returns: TimelineAsset,
TimeNotificationBehaviour.set_timeSource,Method,dump.cs,Time,,,HIGH,Returns: void,
SavedGameMetadataUpdate.Build,Method,dump.cs,Build,,,HIGH,Returns: SavedGameMetadataUpdate,
SavedGameMetadataUpdate.get_IsPlayedTimeUpdated,Method,dump.cs,Time,,,HIGH,Returns: bool,
SavedGameMetadataUpdate.get_UpdatedPlayedTime,Method,dump.cs,Time,,,HIGH,Returns: Nullable<TimeSpan>,
